Cabinet List
PROJECT DETAILS

ID:		Creation Date:	
Dealer
Customer
DESIGN DETAILS

File name:	C:\Users\FaithMartin\OneDrive - KCD, LLC\Documents\2020 Files\Brooklyn Pearl Kitchen1.kit
Reference:	Sold date:
Designer ID:	Delivery date:
Designer name:	Installation date:
Sort order:	Base/Wall/Tall

Print date:	3/10/2026	Page 1 / 	5
CATALOG KCD10-1_1	0

Supplier	Kitchen Cabinet Distributors
Wall Door	Drawer Front
Tall Door	Drawer Pull
Base Door	Door Pull
Door style	{Door Style with Finish}
#	Qty	Manuf. code	Width	Height	Depth	Left-Right	Price	Hng

1	4	TKS8	96 "	4 1/2 "	0 1/4 "	U-U	0.00	None
Number of items for this catalog:	1

Print date:	3/10/2026	Page 2 / 	5
CATALOG KCD10-2_1	0

Supplier	Kitchen Cabinet Distributors
Wall Door	Assembled {See price under each Cabinet}	Drawer Front
Tall Door	Drawer Pull
Base Door	Shaker Kodiak- Multiplier= 0.01	Door Pull
Door style	Shaker Kodiak {Premier}
#	Qty	Manuf. code	Width	Height	Depth	Left-Right	Price	Hng

2	1	SK-FS24	24 "	2 1/2 "	12 "	F-F	216.00	None
3	1	SK-FS24	24 "	2 1/2 "	12 "	F-F	216.00	None
4	1	SK-FS24	24 "	2 1/2 "	12 "	F-F	216.00	None
5	1	SK-TEP3096	81 "	3 "	12 "	U-F	461.00	Right
6	1	SK-TEP3096	81 "	3 "	12 "	U-F	461.00	Right
7	1	SK-TEP3096	81 3/8 "	3 "	12 "	U-F	461.00	Right
8	1	SK-HCSFT3648	36 "	48 "	18 "	F-F	1,436.00	None
9	1	SK-BCE1596L	1 1/2 "	60 "	12 "	F-U	277.00	Left
10	1	SK-BCE1596R	1 1/2 "	60 "	12 "	U-F	277.00	Right
Number of items for this catalog:	9

Print date:	3/10/2026	Page 3 / 	5
CATALOG KCD10-3_1	0

Supplier	Kitchen Cabinet Distributors
Wall Door	Assembled {See price under each Cabinet}	Drawer Front
Tall Door	Drawer Pull
Base Door	Brooklyn White - Multiplier= 0.01	Door Pull
Door style	Brooklyn White {Premier}
#	Qty	Manuf. code	Width	Height	Depth	Left-Right	Price	Hng

