Quote
PROJECT DETAILS

ID:	Creation Date:	02/02/2026
Dealer	Linda Boyette
Customer	
DESIGN DETAILS

File name:	C:\Users\FaithMartin\Ushapekitchen.dsg
Reference:		Sold date:	
Designer ID:	Delivery date:	
Designer name:	 Installation date:	
Sort order:	Wall/Base/Tall
Print date:	02/02/2026
CATALOG KCD-1_1 0

Supplier	Kitchen Cabinet Distributors
Wall Door	Assembled	Drawer Front
Tall Door	Drawer Pull
Base Door	Oslo Walnut Walnut	Door Pull
Door Style	Oslo Walnut Walnut
#	Qty	Manuf. code	Width	Height	Depth	Left-Right	Left-Right	Price	Hng

1	1	OC-ER33	33.0	34.5	24.0	F-F	969.0	R
1.1	1	ASSEMBLY_COST	33.0	34.5	24.0	F-F	969.0	None
2	1	OC-ER33	33.0	34.5	24.0	F-F	969.0	L
2.1	1	ASSEMBLY_COST	33.0	34.5	24.0	F-F	969.0	None
3	1	OC-SB36	36.0	34.5	24.0	F-F	679.0	
3.1	1	ASSEMBLY_COST	36.0	34.5	24.0	F-F	679.0	None
4	1	OC-TRB-2	18.0	34.5	24.0	F-F	1100.0	ND
4.1	1	ASSEMBLY_COST	18.0	34.5	24.0	F-F	1100.0	None
5	1	OC-B09	9.0	34.5	24.0	F-F	359.0	L
5.1	1	ASSEMBLY_COST	9.0	34.5	24.0	F-F	359.0	None
6	1	OC-B09	9.0	34.5	24.0	F-F	359.0	R
6.1	1	ASSEMBLY_COST	9.0	34.5	24.0	F-F	359.0	None
7	1	OC-DB24-3	24.0	34.5	24.0	F-F	1014.0	
7.1	1	ASSEMBLY_COST	24.0	34.5	24.0	F-F	1014.0	None
8	1	OC-DB24-3	24.0	34.5	24.0	F-F	1014.0	
8.1	1	ASSEMBLY_COST	24.0	34.5	24.0	F-F	1014.0	None
9	1	OC-DB36-3	36.0	34.5	24.0	F-F	1299.0	
9.1	1	ASSEMBLY_COST	36.0	34.5	24.0	F-F	1299.0	None
10	1	OC-DB36-3	36.0	34.5	24.0	F-F	1299.0	
10.1	1	ASSEMBLY_COST	36.0	34.5	24.0	F-F	1299.0	None
11	1	OC-DB18-3	18.0	34.5	24.0	F-F	887.0	
11.1	1	ASSEMBLY_COST	18.0	34.5	24.0	F-F	887.0	None
12	1	OC-TEP3096	1.5	94.0	24.0	F-F	461.0	
12.1	1	ASSEMBLY_COST	1.5	94.0	24.0	F-F	461.0	None
13	1	OC-TEP3096	1.5	94.0	24.0	F-F	461.0	
13.1	1	ASSEMBLY_COST	1.5	94.0	24.0	F-F	461.0	None
14	1	OC-W362424	36.0	24.0	24.0	F-F	673.0	
14.1	1	ASSEMBLY_COST	36.0	24.0	24.0	F-F	673.0	None
15	1	OW-W3642	36.0	42.0	12.0	F-F	908.0	
15.1	1	ASSEMBLY_COST	36.0	42.0	12.0	F-F	908.0	None
16	1	OW-W3642	36.0	42.0	18.0	F-F	908.0	
16.1	1	MODID-OW WALL GT15	36.0	42.0	18.0	U-U	230.0	None
16.2	2	OW-TEP3096	36.0	42.0	18.0	U-U	908.0	None
16.3	1	2TEP3096	36.0	42.0	18.0	U-U	922.0	None
16.4	1	ASSEMBLY_COST	36.0	42.0	18.0	F-F	908.0	None
17	1	OW-W3342	33.0	42.0	12.0	F-F	849.0	
17.1	1	ASSEMBLY_COST	33.0	42.0	12.0	F-F	849.0	None
18	1	OW-W3615	36.0	15.0	12.0	F-F	353.0	
18.1	1	ASSEMBLY_COST	36.0	15.0	12.0	F-F	353.0	None
19	1	OW-W3615	36.0	15.0	12.0	F-F	353.0	
19.1	1	ASSEMBLY_COST	36.0	15.0	12.0	F-F	353.0	None
20	1	OW-W3315	33.0	15.0	12.0	F-F	345.0	
20.1	1	ASSEMBLY_COST	33.0	15.0	12.0	F-F	345.0	None
21	1	OW-HSCT3636	37.5	36.0	20.25	F-F	1215.0	
21.1	1	ASSEMBLY_COST	37.5	36.0	20.25	F-F	1215.0	None
22	1	OW-OC-FS36	36.0	2.5	12.0	F-F	247.0	
22.1	1	ASSEMBLY_COST	36.0	2.5	12.0	F-F	247.0	None
23	1	OW-OC-FS36	36.0	2.5	12.0	F-F	247.0	
23.1	1	ASSEMBLY_COST	36.0	2.5	12.0	F-F	247.0	None
24	1	OW-OC-FS36	36.0	2.5	12.0	F-F	247.0	
24.1	1	ASSEMBLY_COST	36.0	2.5	12.0	F-F	247.0	None
25	1	OW-OC-FS36	36.0	2.5	12.0	F-F	247.0	
25.1	1	ASSEMBLY_COST	36.0	2.5	12.0	F-F	247.0	None
